id,title,genres,price,image,steam_page,developer,publisher,release_date
1039940,Hashihime of the Old Book Town,Adventure,$34.99,https://steamcdn-a.akamaihd.net/steam/apps/1039940/header.jpg?t=1569538787,https://store.steampowered.com/app/1039940,ADELTA,MangaGamer,"Sep 26, 2019"
1039910,Buckler 2,Action/Adventure/Indie,$3.99,https://steamcdn-a.akamaihd.net/steam/apps/1039910/header.jpg?t=1572976693,https://store.steampowered.com/app/1039910,AploveStudio,AploveStudio,"Apr 14, 2019"
1039890,EARTH DEFENSE FORCE: IRON RAIN,Action,$59.99,https://steamcdn-a.akamaihd.net/steam/apps/1039890/header.jpg?t=1571280879,https://store.steampowered.com/app/1039890,YUKE'S,D3 PUBLISHER,"Oct 15, 2019"
1039880,Hellsplit: Arena,Action/RPG,$24.99,https://steamcdn-a.akamaihd.net/steam/apps/1039880/header.jpg?t=1570521862,https://store.steampowered.com/app/1039880,Deep Type Games,Deep Type Games,"Sep 9, 2019"
1039860,Lifeless Vanguard,Action/Indie,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1039860/header.jpg?t=1561359814,https://store.steampowered.com/app/1039860,Vibrant Allegory,Vibrant Allegory,"Apr 4, 2019"
1039830,彼岸画廊/Nether Gallery,Adventure/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1039830/header.jpg?t=1572594578,https://store.steampowered.com/app/1039830,HongShou Studio,HongShou Studio,"Apr 25, 2019"
1039800,BlueGlow,Action/Casual/Indie,$2.99,https://steamcdn-a.akamaihd.net/steam/apps/1039800/header.jpg?t=1563221023,https://store.steampowered.com/app/1039800,Santiago Ramirez,Santiago Ramirez,"Mar 28, 2019"
1040630,Alchemy Story,Simulation/Early Access,$19.99,https://steamcdn-a.akamaihd.net/steam/apps/1040630/header.jpg?t=1571162523,https://store.steampowered.com/app/1040630,Éloïse Laroche,Éloïse Laroche,"Aug 22, 2019"
1040620,Tournament: Blood & Steel,Action/Indie/RPG/Early Access,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/1040620/header.jpg?t=1568959888,https://store.steampowered.com/app/1040620,Script Ocean Games,Script Ocean Games,"Jul 26, 2019"
1040610,Zero One / 杀戮世界,Adventure/Indie/RPG,$1.99,https://steamcdn-a.akamaihd.net/steam/apps/1040610/header.jpg?t=1553131886,https://store.steampowered.com/app/1040610,Studio Shoutarou,Pujia8 Studio,"Mar 20, 2019"
1040590,Killer Chambers,Action/Indie,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1040590/header.jpg?t=1560548248,https://store.steampowered.com/app/1040590,Village Bench,Village Bench,"Apr 5, 2019"
1040550,Spring Falls,Casual/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1040550/header.jpg?t=1572326733,https://store.steampowered.com/app/1040550,SPARSE//GameDev,SPARSE//GameDev,Unrealeased
1040510,Princess of Zeven,Indie/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/1040510/header.jpg?t=1571412756,https://store.steampowered.com/app/1040510,Lovely Pretty Ultra Loving You,Kagura Games,Unrealeased
1040490,Prologue for a Vacant Kingdom,Action/Adventure/Free to Play/Indie/RPG,,https://steamcdn-a.akamaihd.net/steam/apps/1040490/header.jpg?t=1555601727,https://store.steampowered.com/app/1040490,shru,shru,"Apr 18, 2019"
1040480,Daka Dara,Casual/Indie/Strategy,$2.99,https://steamcdn-a.akamaihd.net/steam/apps/1040480/header.jpg?t=1553529779,https://store.steampowered.com/app/1040480,Sugarsnapp Games,Sugarsnapp Games,"Mar 25, 2019"
1040460,Space Scavenger,Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1040460/header.jpg?t=1567620205,https://store.steampowered.com/app/1040460,Red Cabin Games,Red Cabin Games,Unrealeased
1040450,The King's New Castle,Action/Indie/Simulation/Strategy/Early Access,$13.99,https://steamcdn-a.akamaihd.net/steam/apps/1040450/header.jpg?t=1560981163,https://store.steampowered.com/app/1040450,CHG,CHG,"Mar 30, 2019"
